TIME	ID	SEGMENT	MEM REQUEST	TIME REMAINING	MESSAGES
0	0	0	21	2	running
0	1	1	27	8	running
0	2	4	48	7	running
0	3	7	54	4	running
0	4	5	42	4	running
0	5	8	47	7	running
0	6	6	25	7	running
0	7	-1	45	7	waiting
0	8	-1	53	7	waiting
0	9	-1	63	4	waiting
0	10	-1	22	6	waiting
0	11	-1	44	8	waiting
0	12	-1	28	5	waiting
0	13	-1	51	7	waiting
0	14	-1	18	4	waiting
0	15	-1	62	9	waiting
0	16	-1	54	3	waiting
0	17	-1	22	4	waiting
0	18	-1	21	6	waiting
0	19	-1	38	7	waiting
Wasted Space: 144 MB
Jobs Waiting: 13

1	0	0	21	1	running
1	1	1	27	7	running
1	2	4	48	6	running
1	3	7	54	4	running
1	4	5	42	3	running
1	5	8	47	7	running
1	6	6	25	7	running
1	7	-1	45	7	waiting
1	8	-1	53	7	waiting
1	9	-1	63	4	waiting
1	10	-1	22	6	waiting
1	11	-1	44	8	waiting
1	12	-1	28	5	waiting
1	13	-1	51	7	waiting
1	14	-1	18	4	waiting
1	15	-1	62	9	waiting
1	16	-1	54	3	waiting
1	17	-1	22	4	waiting
1	18	-1	21	6	waiting
1	19	-1	38	7	waiting
Wasted Space: 144 MB
Jobs Waiting: 13

1	0	2	21	1	running
1	1	9	27	7	running
1	2	4	48	6	running
1	3	7	54	4	running
1	4	5	42	3	running
1	5	8	47	7	running
1	6	6	25	7	running
1	7	-1	45	7	waiting
1	8	-1	53	7	waiting
1	9	-1	63	4	waiting
1	10	-1	22	6	waiting
1	11	-1	44	8	waiting
1	12	-1	28	5	waiting
1	13	-1	51	7	waiting
1	14	-1	18	4	waiting
1	15	-1	62	9	waiting
1	16	-1	54	3	waiting
1	17	-1	22	4	waiting
1	18	-1	21	6	waiting
1	19	-1	38	7	waiting
Wasted Space: 96 MB
Jobs Waiting: 13

2	0	2	21	1	running
2	1	9	27	6	running
2	2	4	48	5	running
2	3	7	54	4	running
2	4	5	42	2	running
2	5	8	47	6	running
2	6	6	25	7	running
2	7	-1	45	7	waiting
2	8	-1	53	7	waiting
2	9	-1	63	4	waiting
2	10	-1	22	6	waiting
