TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
0	6	-1	39		2	waiting
0	9	-1	62		2	waiting
0	15	-1	17		2	waiting
0	19	-1	61		2	waiting
0	0	-1	53		3	waiting
0	4	-1	46		3	waiting
0	11	-1	26		3	waiting
0	3	-1	58		5	waiting
0	1	-1	29		6	waiting
0	8	-1	46		6	waiting
0	12	-1	34		6	waiting
0	13	-1	25		6	waiting
0	17	-1	21		6	waiting
0	18	-1	28		6	waiting
0	5	-1	17		7	waiting
0	2	-1	61		8	waiting
0	7	-1	45		8	waiting
0	10	-1	43		9	waiting
0	14	-1	61		9	waiting
0	16	-1	40		9	waiting
Wasted Space: 408 MB
Jobs Waiting: 20

TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
1	6	1	39		1	running
1	9	4	62		1	running
1	15	2	17		1	running
1	19	7	61		1	running
1	0	-1	53		3	waiting
1	4	5	46		3	ready
1	11	0	26		3	ready
1	3	-1	58		5	waiting
1	1	6	29		6	ready
1	8	8	46		6	ready
1	12	-1	34		6	waiting
1	13	9	25		6	ready
1	17	-1	21		6	waiting
1	18	-1	28		6	waiting
1	5	-1	17		7	waiting
1	2	-1	61		8	waiting
1	7	-1	45		8	waiting
1	10	-1	43		9	waiting
1	14	-1	61		9	waiting
1	16	-1	40		9	waiting
Wasted Space: 57 MB
Jobs Waiting: 11

TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
2	6	-1	39		0	finished
2	9	-1	62		0	finished
2	15	-1	17		0	finished
2	19	-1	61		0	finished
2	0	-1	53		3	waiting
2	4	5	46		2	running
2	11	0	26		2	running
2	3	-1	58		5	waiting
2	1	6	29		5	running
2	8	8	46		5	running
2	12	-1	34		6	waiting
2	13	9	25		6	ready
2	17	-1	21		6	waiting
2	18	-1	28		6	waiting
2	5	-1	17		7	waiting
2	2	-1	61		8	waiting
2	7	-1	45		8	waiting
2	10	-1	43		9	waiting
2	14	-1	61		9	waiting
2	16	-1	40		9	waiting
Wasted Space: 236 MB
Jobs Waiting: 11

TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
3	6	-1	39		0	finished
3	9	-1	62		0	finished
3	15	-1	17		0	finished
3	19	-1	61		0	finished
3	0	-1	53		3	waiting
3	4	5	46		1	running
3	11	0	26		1	running
3	3	-1	58		5	waiting
3	1	6	29		4	running
3	8	8	46		4	running
3	12	-1	34		6	waiting
3	13	9	25		6	ready
3	17	-1	21		6	waiting
3	18	-1	28		6	waiting
3	5	-1	17		7	waiting
3	2	-1	61		8	waiting
3	7	-1	45		8	waiting
3	10	-1	43		9	waiting
3	14	-1	61		9	waiting
3	16	-1	40		9	waiting
Wasted Space: 236 MB
Jobs Waiting: 11

TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
4	6	-1	39		0	finished
4	9	-1	62		0	finished
4	15	-1	17		0	finished
4	19	-1	61		0	finished
4	0	-1	53		3	waiting
4	4	-1	46		0	finished
4	11	-1	26		0	finished
4	3	-1	58		5	waiting
4	1	6	29		3	running
4	8	8	46		3	running
4	12	-1	34		6	waiting
4	13	9	25		5	running
4	17	-1	21		6	waiting
