TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
0	0	-1	53		3	waiting
0	1	-1	29		6	waiting
0	2	-1	61		8	waiting
0	3	-1	58		5	waiting
0	4	-1	46		3	waiting
0	5	-1	17		7	waiting
0	6	-1	39		2	waiting
0	7	-1	45		8	waiting
0	8	-1	46		6	waiting
0	9	-1	62		2	waiting
0	10	-1	43		9	waiting
0	11	-1	26		3	waiting
0	12	-1	34		6	waiting
0	13	-1	25		6	waiting
0	14	-1	61		9	waiting
0	15	-1	17		2	waiting
0	16	-1	40		9	waiting
0	17	-1	21		6	waiting
0	18	-1	28		6	waiting
0	19	-1	61		2	waiting
Wasted Space: 408 MB
Jobs Waiting: 20

TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
1	0	4	53		2	running
1	1	0	29		5	running
1	2	7	61		7	running
1	3	-1	58		5	waiting
1	4	1	46		2	running
1	5	2	17		7	ready
1	6	5	39		2	ready
1	7	8	45		8	ready
1	8	-1	46		6	waiting
1	9	-1	62		2	waiting
1	10	-1	43		9	waiting
1	11	6	26		3	ready
1	12	-1	34		6	waiting
1	13	9	25		6	ready
1	14	-1	61		9	waiting
1	15	-1	17		2	waiting
1	16	-1	40		9	waiting
1	17	-1	21		6	waiting
1	18	-1	28		6	waiting
1	19	-1	61		2	waiting
Wasted Space: 67 MB
Jobs Waiting: 11

TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
2	0	4	53		1	running
2	1	0	29		4	running
2	2	7	61		6	running
2	3	-1	58		5	waiting
2	4	1	46		1	running
2	5	2	17		7	ready
2	6	5	39		2	ready
2	7	8	45		8	ready
2	8	-1	46		6	waiting
2	9	-1	62		2	waiting
2	10	-1	43		9	waiting
2	11	6	26		3	ready
2	12	-1	34		6	waiting
2	13	9	25		6	ready
2	14	-1	61		9	waiting
2	15	-1	17		2	waiting
2	16	-1	40		9	waiting
2	17	-1	21		6	waiting
2	18	-1	28		6	waiting
2	19	-1	61		2	waiting
Wasted Space: 67 MB
Jobs Waiting: 11

TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
3	0	-1	53		0	finished
3	1	0	29		3	running
3	2	7	61		5	running
3	3	-1	58		5	waiting
3	4	-1	46		0	finished
3	5	2	17		6	running
3	6	5	39		1	running
3	7	8	45		8	ready
3	8	-1	46		6	waiting
3	9	-1	62		2	waiting
3	10	-1	43		9	waiting
3	11	6	26		3	ready
3	12	-1	34		6	waiting
3	13	9	25		6	ready
3	14	-1	61		9	waiting
3	15	-1	17		2	waiting
3	16	-1	40		9	waiting
3	17	-1	21		6	waiting
3	18	-1	28		6	waiting
3	19	-1	61		2	waiting
Wasted Space: 166 MB
Jobs Waiting: 11

TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
4	0	-1	53		0	finished
4	1	0	29		2	running
4	2	7	61		4	running
4	3	-1	58		5	waiting
4	4	-1	46		0	finished
4	5	2	17		5	running
4	6	-1	39		0	finished
4	7	8	45		7	running
4	8	-1	46		6	waiting
4	9	-1	62		2	waiting
4	10	-1	43		9	waiting
4	11	6	26		3	ready
4	12	-1	34		6	waiting
4	13	9	25		6	ready
4	14	-1	61		9	waiting
4	15	-1	17		2	waiting
4	16	-1	40		9	waiting
4	17	-1	21		6	waiting
4	18	-1	28		6	waiting
4	19	-1	61		2	waiting
Wasted Space: 205 MB
Jobs Waiting: 11

TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
5	0	-1	53		0	finished
5	1	0	29		1	running
5	2	7	61		3	running
5	3	-1	58		5	waiting
5	4	-1	46		0	finished
5	5	2	17		4	running
